name,team,position,age,sleeperid,selected,ranked,comments
Marvin Harrison Jr,ARI,WR,21,1,1.01,1.01,
Malik Nabers,NYG,WR,21,1,1.05,1.03,
Brian Thomas,JAC,WR,21,1,2.01,1.10,
Brock Bowers,LV,TE,21,1,1.07,1.07,
Rome Odunze,CHI,WR,21,1,1.06,1.05,
Xavier Worthy,KC,WR,21,1,1.10,2.02,
Jonathon Brooks,CAR,RB,21,1,1.09,1.06,
Keon Coleman,BUF,WR,21,1,2.07,2.04,
Ladd McConkey,LAC,WR,21,1,2.04,2.01,
Jayden Daniels,WAS,QB,21,1,1.03,1.04,
Caleb Williams,CHI,QB,21,1,1.02,1.02,
Trey Benson,ARI,RB,21,1,2.05,2.07,
Bucky Irving,TB,RB,21,1,,,
Tyrone Tracy Jr,NYG,RB,21,1,3.08,4.04,
Adonai Mitchell,IND,WR,21,1,2.08,3.03,
Xavier Legette,CAR,WR,21,1,2.10,2.09,
Ricky Pearsall,SF,WR,21,1,2.03,2.06,
Braelon Allen,NYJ,RB,21,1,4.01,4.03,
Jaylen Wright,MIA,RB,21,1,3.03,3.06,
Ja'Lynn Polk,NE,WR,21,1,3.10,2.10,
Jalen McMillan,TB,WR,21,1,,,
Drake Maye,NE,QB,21,1,1.04,1.08,
Blake Corum,LAR,RB,21,1,2.09,2.08,
Troy Franklin,DEN,WR,21,1,4.02,3.09,
Ray Davis,BUF,RB,21,1,3.05,3.04,
Roman Wilson,PIT,WR,21,1,4.04,3.07,
Bo Nix,DEN,QB,21,1,2.02,2.03,
JJ McCarthy,MIN,QB,21,1,1.08,1.09,
MarShawn Lloyd,GB,RB,21,1,3.01,3.01,
Ja'Tavion Sanders,CAR,TE,21,1,,,
Isaac Guerendo,SF,RB,21,1,4.09,5.03,
Jermaine Burton,CIN,WR,21,1,3.02,3.05,
Malachi Corley,NYJ,WR,21,1,,,
Luke McCaffrey,WAS,WR,21,1,4.03,4.02,
Audric Estime,DEN,RB,21,1,4.08,4.01,
Ben Sinnott,WAS,TE,21,1,3.06,3.10,
Jordan Whittington,LAR,WR,21,1,,,
Theo Johnson,NYG,TE,21,1,,,
Michael Penix,ATL,QB,21,1,2.06,2.05,
Kimani Vidal,LAC,RB,21,1,3.04,4.05,
Will Shipley,PHI,RB,21,1,4.06,3.10,
Javon Baker,NE,WR,21,1,4.10,4.06,
Devontez Walker,BAL,WR,21,1,,,
Malik Washington,MIA,WR,21,1,,,
Dylan Laube,LV,RB,21,1,,,
Jacob Cowing,SF,WR,21,1,,,
Erick All,CIN,TE,21,1,,,
Carson Steele,KC,RB,21,1,,,
Jalen Coker,CAR,WR,21,1,,,
Jared Wiley,KC,TE,21,1,,,
Johnny Wilson,PHI,WR,21,1,,,
Rasheen Ali,BAL,RB,21,1,4.07,5.10,
Bub Means,NO,WR,21,1,,,
Jamari Thrash,CLE,WR,21,1,,,
Anthony Gould,IND,WR,21,1,,,
Devaughn Vele,DEN,WR,21,1,,,
Cade Stover,HOU,TE,21,1,,,
Isaiah Davis,NYJ,RB,21,1,,,
Brenden Rice,LAC,WR,21,1,,,
Blake Watson,Free Agent,RB,21,1,,,
Jordan Travis,NYJ,QB,21,1,3.07,5.02,
Joe Milton,NE,QB,21,1,3.09,6.10,
Spencer Rattler,NO,QB,21,1,4.05,5.02,
