name,team,position,age,sleeperId,selected,ranked,comments
Ashton Jeanty,LV,RB,21.5,12527,1.01,1.01,
Omarion Hampton,LAC,RB,22.2,12507,1.02,1.02,
Travis Hunter,JAX,WR,22,12530,1.06,1.03,
Cameron Ward,TEN,QB,23,12522,1.05,1.04,
Tetairoa McMillan,CAR,WR,22.2,12526,1.09,1.05,
TreVeyon Henderson,NE,RB,22.6,12529,1.04,1.06,
Quinshon Judkins,CLE,RB,21.6,12512,1.03,1.07,
RJ Harvey,DEN,RB,24.3,12489,1.10,1.08,
Tyler Warren,IND,TE,23,12518,2.04,1.09,
Kaleb Johnson,PIT,RB,21.8,12504,1.07,1.10,
Emeka Egbuka,TB,WR,22.6,12514,2.01,2.01,
Colston Loveland,CHI,TE,21.1,12517,1.08,2.02,
Jaxson Dart,NYG,QB,22,12508,2.03,2.03,
Matthew Golden,GB,WR,21.8,12501,2.07,2.04,
Luther Burden,CHI,WR,21.5,12519,2.10,2.05,
Jayden Higgins,HOU,WR,22.5,12484,3.01,2.06,
Cam Skattebo,NYG,RB,23.3,12481,2.03,2.07,
Tre Harris,LAC,WR,23.3,12509,2.02,2.08,
Jalen Milroe,SEA,QB,22.5,12510,2.04,2.09,
Jack Bech,LV,WR,22.4,12483,2.08,2.10,
Bhayshul Tuten,JAX,RB,23.3,12490,3.02,3.01,
Shedeur Sanders,CLE,QB,23.3,12524,3.03,3.02,
Mason Taylor,NYJ,TE,21.1,12498,4.02,3.03,
Tyler Shough,NO,QB,25.7,12545,3.07,3.04,
Kyle Williams,NE,WR,22.5,12547,3.10,3.05,
Jaydon Blue,DAL,RB,21.4,12457,2.09,3.06,
Jaylin Noel,HOU,WR,22.7,12536,3.05,3.07,
Terrance Ferguson,LAR,TE,22.2,12487,4.03,3.08,
Dylan Sampson,CLE,RB,20.7,12469,3.04,3.09,
Devin Neal,NO,RB,21.8,12476,4.10,3.10,
Elijah Arroyo,SEA,TE,22.2,12521,4.06,4.01,
Jalen Royals,KC,WR,22.3,12505,,4.02,
Harold Fannin,CLE,TE,20.9,12506,,4.03,
Will Howard,PIT,QB,23.7,12511,4.05,4.04,
Pat Bryant,DEN,WR,22.5,12492,4.09,4.05,
Elic Ayomanor,TEN,WR,22,12499,,4.06,
Ollie Gordon,MIA,RB,21.4,12495,,4.07,
Trevor Etienne,CAR,RB,20.9,12531,,4.08,
DJ Giddens,IND,RB,21.8,12471,,4.09,
Jordan James,SF,RB,21.2,12467,4.04,4.10,
Jarquez Hunter,LAR,RB,22.4,11569,4.01,5.01,
Isaac TeSlaa,DET,WR,23.3,12535,,5.02,
Woody Marks,HOU,RB,24.4,12474,,5.03,
Tory Horton,SEA,WR,22.5,12497,,5.04,
Dillon Gabriel,CLE,QB,24.4,12486,3.06,5.05,
Quinn Ewers,MIA,QB,22,12500,,5.06,
Tahj Brooks,CIN,RB,23,12543,,5.07,
Kyle Monangai,CHI,RB,23,12534,4.07,5.08,
Brashard Smith,KC,RB,22.1,12455,,5.09,
Xavier Restrepo,TEN,WR,23.1,12520,,5.10,
Tai Felton,MIN,WR,22.2,12496,,6.01,
Savion Williams,GB,WR,23.5,12482,,6.02,
Gunnar Helm,TEN,TE,22.7,12502,,6.03,
Oronde Gadsden,LAC,TE,21.9,12493,,6.04,
Damien Martinez,SEA,RB,21.3,12462,4.08,6.05,
Jacory Croskey-Merritt,WAS,RB,24.1,12533,3.08,6.06,
Chimere Dike,TEN,WR,23.5,12540,,6.07,
Jimmy Horn,CAR,WR,22.7,12523,,6.08,
Tez Johnson,TB,WR,23,12485,,6.09,
Dont'e Thornton,LV,WR,22.5,12541,,6.10,
Riley Leonard,IND,QB,22.7,12470,,7.01,
Nick Nash,ATL,WR,24.8,12478,,7.02,
Isaiah Bond,null,WR,21,12503,,7.03,
Mitchell Evans,CAR,TE,22.2,12473,,7.04,
Arian Smith,NYJ,WR,23.6,12539,,7.05,
Jaylin Lane,WAS,WR,23.1,12641,3.09,7.06,
Kalel Mullings,TEN,RB,22.7,12516,,7.07,
Donovan Edwards,NYJ,RB,22.3,12515,,7.08,
LeQuint Allen,JAX,RB,20.8,12544,,7.09,
